name,method,amount,sample_number,path,authenticated,distance,detected_person
Jake_Gyllenhaalprofile,linear,0.5,4,../data/luminance/profiles/Jake_Gyllenhaalprofile/linear/0_5/4.jpg,True,0.004621629572728936,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,linear,0.5,3,../data/luminance/profiles/Jake_Gyllenhaalprofile/linear/0_5/3.jpg,True,0.008577926475514697,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,linear,0.5,0,../data/luminance/profiles/Jake_Gyllenhaalprofile/linear/0_5/0.jpg,True,0.007894440537086655,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,linear,0.5,1,../data/luminance/profiles/Jake_Gyllenhaalprofile/linear/0_5/1.jpg,True,0.025837404544435283,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,linear,0.5,2,../data/luminance/profiles/Jake_Gyllenhaalprofile/linear/0_5/2.jpg,True,0.013749903276778386,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,linear,1.5,4,../data/luminance/profiles/Jake_Gyllenhaalprofile/linear/1_5/4.jpg,True,0.004621629572728936,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,linear,1.5,3,../data/luminance/profiles/Jake_Gyllenhaalprofile/linear/1_5/3.jpg,True,0.008577926475514697,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,linear,1.5,0,../data/luminance/profiles/Jake_Gyllenhaalprofile/linear/1_5/0.jpg,True,0.007894440537086655,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,linear,1.5,1,../data/luminance/profiles/Jake_Gyllenhaalprofile/linear/1_5/1.jpg,True,0.025837404544435283,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,linear,1.5,2,../data/luminance/profiles/Jake_Gyllenhaalprofile/linear/1_5/2.jpg,True,0.013749903276778386,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,linear,1.33,4,../data/luminance/profiles/Jake_Gyllenhaalprofile/linear/1_3333333333333333/4.jpg,True,0.008691159870438003,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,linear,1.33,3,../data/luminance/profiles/Jake_Gyllenhaalprofile/linear/1_3333333333333333/3.jpg,True,0.006387507334361553,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,linear,1.33,0,../data/luminance/profiles/Jake_Gyllenhaalprofile/linear/1_3333333333333333/0.jpg,True,0.016849117961521554,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,linear,1.33,1,../data/luminance/profiles/Jake_Gyllenhaalprofile/linear/1_3333333333333333/1.jpg,True,0.13108523058307298,../dataset/all images/Lisa Kudrow
Jake_Gyllenhaalprofile,linear,1.33,2,../data/luminance/profiles/Jake_Gyllenhaalprofile/linear/1_3333333333333333/2.jpg,True,0.021443383220681178,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,linear,0.6,4,../data/luminance/profiles/Jake_Gyllenhaalprofile/linear/0_6/4.jpg,True,0.005898979557882211,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,linear,0.6,3,../data/luminance/profiles/Jake_Gyllenhaalprofile/linear/0_6/3.jpg,True,0.016955705578355462,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,linear,0.6,0,../data/luminance/profiles/Jake_Gyllenhaalprofile/linear/0_6/0.jpg,True,0.006636720505838634,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,linear,0.6,1,../data/luminance/profiles/Jake_Gyllenhaalprofile/linear/0_6/1.jpg,True,0.028856944196057777,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,linear,0.6,2,../data/luminance/profiles/Jake_Gyllenhaalprofile/linear/0_6/2.jpg,True,0.006436682138829308,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,quadratic,,4,../data/luminance/profiles/Jake_Gyllenhaalprofile/quadratic/quadratic/4.jpg,True,0.18992726067848853,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,quadratic,,3,../data/luminance/profiles/Jake_Gyllenhaalprofile/quadratic/quadratic/3.jpg,True,0.07186721768742121,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,quadratic,,0,../data/luminance/profiles/Jake_Gyllenhaalprofile/quadratic/quadratic/0.jpg,True,0.12573048523077912,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,quadratic,,1,../data/luminance/profiles/Jake_Gyllenhaalprofile/quadratic/quadratic/1.jpg,True,0.07070334378980103,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,quadratic,,2,../data/luminance/profiles/Jake_Gyllenhaalprofile/quadratic/quadratic/2.jpg,True,0.2082763372851193,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,constant,-10.0,4,../data/luminance/profiles/Jake_Gyllenhaalprofile/constant/-10/4.jpg,True,0.17610470591451588,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,constant,-10.0,3,../data/luminance/profiles/Jake_Gyllenhaalprofile/constant/-10/3.jpg,True,0.06965979492950403,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,constant,-10.0,0,../data/luminance/profiles/Jake_Gyllenhaalprofile/constant/-10/0.jpg,True,0.055426188369841145,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,constant,-10.0,1,../data/luminance/profiles/Jake_Gyllenhaalprofile/constant/-10/1.jpg,True,0.02502734059102618,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,constant,-10.0,2,../data/luminance/profiles/Jake_Gyllenhaalprofile/constant/-10/2.jpg,True,0.006963267867667544,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,constant,-100.0,4,../data/luminance/profiles/Jake_Gyllenhaalprofile/constant/-100/4.jpg,True,0.059944676279036435,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,constant,-100.0,3,../data/luminance/profiles/Jake_Gyllenhaalprofile/constant/-100/3.jpg,,,
Jake_Gyllenhaalprofile,constant,-100.0,0,../data/luminance/profiles/Jake_Gyllenhaalprofile/constant/-100/0.jpg,,,
Jake_Gyllenhaalprofile,constant,-100.0,1,../data/luminance/profiles/Jake_Gyllenhaalprofile/constant/-100/1.jpg,,,
Jake_Gyllenhaalprofile,constant,-100.0,2,../data/luminance/profiles/Jake_Gyllenhaalprofile/constant/-100/2.jpg,,,
Jake_Gyllenhaalprofile,constant,-20.0,4,../data/luminance/profiles/Jake_Gyllenhaalprofile/constant/-20/4.jpg,True,0.26920888161689027,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,constant,-20.0,3,../data/luminance/profiles/Jake_Gyllenhaalprofile/constant/-20/3.jpg,True,0.09665094206686964,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,constant,-20.0,0,../data/luminance/profiles/Jake_Gyllenhaalprofile/constant/-20/0.jpg,True,0.09343098176895559,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,constant,-20.0,1,../data/luminance/profiles/Jake_Gyllenhaalprofile/constant/-20/1.jpg,True,0.07164745718781163,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,constant,-20.0,2,../data/luminance/profiles/Jake_Gyllenhaalprofile/constant/-20/2.jpg,True,0.16107459816159952,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,constant,30.0,4,../data/luminance/profiles/Jake_Gyllenhaalprofile/constant/30/4.jpg,True,0.011953455277790903,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,constant,30.0,3,../data/luminance/profiles/Jake_Gyllenhaalprofile/constant/30/3.jpg,True,0.00848592599899256,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,constant,30.0,0,../data/luminance/profiles/Jake_Gyllenhaalprofile/constant/30/0.jpg,True,0.034843105304370514,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,constant,30.0,1,../data/luminance/profiles/Jake_Gyllenhaalprofile/constant/30/1.jpg,True,0.024500222891097878,../dataset/all images/Jake Gyllenhaal
Jake_Gyllenhaalprofile,constant,30.0,2,../data/luminance/profiles/Jake_Gyllenhaalprofile/constant/30/2.jpg,True,0.010536049750007659,../dataset/all images/Jake Gyllenhaal
Terry_Farrellprofile,linear,0.5,4,../data/luminance/profiles/Terry_Farrellprofile/linear/0_5/4.jpg,True,0.0076489751489260405,../dataset/all images/Terry Farrell
Terry_Farrellprofile,linear,0.5,3,../data/luminance/profiles/Terry_Farrellprofile/linear/0_5/3.jpg,True,0.003332813406041857,../dataset/all images/Terry Farrell
Terry_Farrellprofile,linear,0.5,0,../data/luminance/profiles/Terry_Farrellprofile/linear/0_5/0.jpg,True,0.0067160564808411705,../dataset/all images/Terry Farrell
Terry_Farrellprofile,linear,0.5,1,../data/luminance/profiles/Terry_Farrellprofile/linear/0_5/1.jpg,True,0.011232068655283367,../dataset/all images/Terry Farrell
Terry_Farrellprofile,linear,0.5,2,../data/luminance/profiles/Terry_Farrellprofile/linear/0_5/2.jpg,True,0.003762865736981702,../dataset/all images/Terry Farrell
Terry_Farrellprofile,linear,1.5,4,../data/luminance/profiles/Terry_Farrellprofile/linear/1_5/4.jpg,True,0.0076489751489260405,../dataset/all images/Terry Farrell
Terry_Farrellprofile,linear,1.5,3,../data/luminance/profiles/Terry_Farrellprofile/linear/1_5/3.jpg,True,0.003332813406041857,../dataset/all images/Terry Farrell
Terry_Farrellprofile,linear,1.5,0,../data/luminance/profiles/Terry_Farrellprofile/linear/1_5/0.jpg,True,0.0067160564808411705,../dataset/all images/Terry Farrell
Terry_Farrellprofile,linear,1.5,1,../data/luminance/profiles/Terry_Farrellprofile/linear/1_5/1.jpg,True,0.011232068655283367,../dataset/all images/Terry Farrell
Terry_Farrellprofile,linear,1.5,2,../data/luminance/profiles/Terry_Farrellprofile/linear/1_5/2.jpg,True,0.003762865736981702,../dataset/all images/Terry Farrell
Terry_Farrellprofile,linear,1.33,4,../data/luminance/profiles/Terry_Farrellprofile/linear/1_3333333333333333/4.jpg,True,0.004032235131878892,../dataset/all images/Terry Farrell
Terry_Farrellprofile,linear,1.33,3,../data/luminance/profiles/Terry_Farrellprofile/linear/1_3333333333333333/3.jpg,True,0.003332813406041857,../dataset/all images/Terry Farrell
Terry_Farrellprofile,linear,1.33,0,../data/luminance/profiles/Terry_Farrellprofile/linear/1_3333333333333333/0.jpg,True,0.004371739650093187,../dataset/all images/Terry Farrell
Terry_Farrellprofile,linear,1.33,1,../data/luminance/profiles/Terry_Farrellprofile/linear/1_3333333333333333/1.jpg,True,0.017423114823209795,../dataset/all images/Terry Farrell
Terry_Farrellprofile,linear,1.33,2,../data/luminance/profiles/Terry_Farrellprofile/linear/1_3333333333333333/2.jpg,True,0.003762865736981702,../dataset/all images/Terry Farrell
Terry_Farrellprofile,linear,0.6,4,../data/luminance/profiles/Terry_Farrellprofile/linear/0_6/4.jpg,False,0.5556007045549083,../dataset/all images/Colin Farrell
Terry_Farrellprofile,linear,0.6,3,../data/luminance/profiles/Terry_Farrellprofile/linear/0_6/3.jpg,True,0.003332813406041857,../dataset/all images/Terry Farrell
Terry_Farrellprofile,linear,0.6,0,../data/luminance/profiles/Terry_Farrellprofile/linear/0_6/0.jpg,True,0.0050113865522596335,../dataset/all images/Terry Farrell
Terry_Farrellprofile,linear,0.6,1,../data/luminance/profiles/Terry_Farrellprofile/linear/0_6/1.jpg,True,0.010690963380737939,../dataset/all images/Terry Farrell
Terry_Farrellprofile,linear,0.6,2,../data/luminance/profiles/Terry_Farrellprofile/linear/0_6/2.jpg,True,0.003762865736981702,../dataset/all images/Terry Farrell
Terry_Farrellprofile,quadratic,,4,../data/luminance/profiles/Terry_Farrellprofile/quadratic/quadratic/4.jpg,True,0.1262778380780103,../dataset/all images/Terry Farrell
Terry_Farrellprofile,quadratic,,3,../data/luminance/profiles/Terry_Farrellprofile/quadratic/quadratic/3.jpg,True,0.19641258789659644,../dataset/all images/Terry Farrell
Terry_Farrellprofile,quadratic,,0,../data/luminance/profiles/Terry_Farrellprofile/quadratic/quadratic/0.jpg,True,0.09283338825506693,../dataset/all images/Terry Farrell
Terry_Farrellprofile,quadratic,,1,../data/luminance/profiles/Terry_Farrellprofile/quadratic/quadratic/1.jpg,True,0.10019632091899333,../dataset/all images/Terry Farrell
